,date,recovered
0,12-02-2020,0.0
1,13-02-2020,0.0
2,14-02-2020,0.0
3,15-02-2020,0.0
4,16-02-2020,0.0
5,17-02-2020,0.0
6,18-02-2020,0.0
7,19-02-2020,0.0
8,20-02-2020,0.0
9,21-02-2020,0.0
10,22-02-2020,0.0
11,23-02-2020,0.0
12,24-02-2020,0.0
13,25-02-2020,0.0
14,26-02-2020,0.0
15,27-02-2020,0.0
16,28-02-2020,0.0
17,29-02-2020,0.0
18,01-03-2020,0.0
19,02-03-2020,0.0
20,03-03-2020,0.0
21,04-03-2020,0.0
22,05-03-2020,0.0
23,06-03-2020,0.0
24,07-03-2020,0.0
25,08-03-2020,0.0
26,09-03-2020,0.0
27,10-03-2020,0.0
28,11-03-2020,0.0
29,12-03-2020,0.0
30,13-03-2020,1.0
31,14-03-2020,0.0
32,15-03-2020,0.0
33,16-03-2020,0.0
34,17-03-2020,2.0
35,18-03-2020,2.0
36,19-03-2020,4.0
37,20-03-2020,1.0
38,21-03-2020,1.0
39,22-03-2020,4.0
40,23-03-2020,6.0
41,24-03-2020,5.0
42,25-03-2020,6.0
43,26-03-2020,10.0
44,27-03-2020,18.0
45,28-03-2020,9.0
46,29-03-2020,15.0
47,30-03-2020,33.0
48,31-03-2020,43.0
49,01-04-2020,155.0
50,02-04-2020,80.0
51,03-04-2020,57.0
52,04-04-2020,53.0
53,05-04-2020,102.0
54,06-04-2020,121.0
55,07-04-2020,122.0
56,08-04-2020,107.0
57,09-04-2020,113.0
58,10-04-2020,129.0
59,11-04-2020,121.0
60,12-04-2020,257.0
61,13-04-2020,282.0
62,14-04-2020,293.0
63,15-04-2020,280.0
64,16-04-2020,324.0
65,17-04-2020,356.0
66,18-04-2020,246.0
67,19-04-2020,383.0
68,20-04-2020,449.0
69,21-04-2020,372.0
70,22-04-2020,392.0
71,23-04-2020,330.0
72,24-04-2020,337.0
73,25-04-2020,377.0
74,26-04-2020,431.0
75,27-04-2020,467.0
76,28-04-2020,560.0
77,29-04-2020,352.0
78,30-04-2020,424.0
79,01-05-2020,419.0
80,02-05-2020,280.0
81,03-05-2020,291.0
82,04-05-2020,260.0
83,05-05-2020,317.0
84,06-05-2020,260.0
85,07-05-2020,229.0
86,08-05-2020,223.0
87,09-05-2020,89.0
88,10-05-2020,171.0
89,11-05-2020,331.0
90,12-05-2020,258.0
91,13-05-2020,182.0
92,14-05-2020,242.0
93,15-05-2020,162.0
94,16-05-2020,104.0
95,17-05-2020,153.0
96,18-05-2020,276.0
97,19-05-2020,154.0
98,20-05-2020,114.0
99,21-05-2020,125.0
100,22-05-2020,163.0
101,23-05-2020,44.0
102,24-05-2020,116.0
103,25-05-2020,133.0
104,26-05-2020,91.0
105,27-05-2020,62.0
106,28-05-2020,115.0
107,29-05-2020,39.0
108,30-05-2020,40.0
109,31-05-2020,61.0
110,01-06-2020,68.0
111,02-06-2020,53.0
112,03-06-2020,27.0
113,04-06-2020,42.0
114,05-06-2020,37.0
115,06-06-2020,24.0
116,07-06-2020,42.0
117,08-06-2020,39.0
118,09-06-2020,45.0
119,10-06-2020,51.0
120,11-06-2020,55.0
121,12-06-2020,54.0
122,13-06-2020,40.0
123,14-06-2020,49.0
124,15-06-2020,89.0
125,16-06-2020,53.0
126,17-06-2020,47.0
127,18-06-2020,50.0
128,19-06-2020,57.0
129,20-06-2020,36.0
130,21-06-2020,50.0
131,22-06-2020,59.0
132,23-06-2020,84.0
133,24-06-2020,71.0
134,25-06-2020,75.0
135,26-06-2020,130.0
136,27-06-2020,50.0
137,28-06-2020,140.0
138,29-06-2020,164.0
139,30-06-2020,130.0
140,01-07-2020,98.0
141,02-07-2020,126.0
142,03-07-2020,116.0
143,04-07-2020,76.0
144,05-07-2020,144.0
145,06-07-2020,193.0
146,07-07-2020,172.0
147,08-07-2020,224.0
148,09-07-2020,226.0
149,10-07-2020,213.0
150,11-07-2020,191.0
151,12-07-2020,338.0
152,13-07-2020,363.0
153,14-07-2020,313.0
154,15-07-2020,362.0
155,16-07-2020,508.0
156,17-07-2020,481.0
157,18-07-2020,448.0
158,19-07-2020,520.0
159,20-07-2020,628.0
160,21-07-2020,642.0
161,22-07-2020,3723.0
162,23-07-2020,6756.0
163,24-07-2020,1602.0
164,25-07-2020,591.0
165,26-07-2020,2734.0
166,27-07-2020,1765.0
167,28-07-2020,1555.0
168,29-07-2020,1407.0
169,30-07-2020,1684.0
170,31-07-2020,1293.0
171,01-08-2020,533.0
172,02-08-2020,2445.0
173,03-08-2020,1801.0
174,04-08-2020,1647.0
175,05-08-2020,1482.0
176,06-08-2020,1752.0
177,07-08-2020,1211.0
178,08-08-2020,608.0
179,09-08-2020,2340.0
180,10-08-2020,1393.0
181,11-08-2020,983.0
182,12-08-2020,1134.0
183,13-08-2020,1309.0
184,14-08-2020,985.0
185,15-08-2020,564.0
186,16-08-2020,2219.0
187,17-08-2020,1195.0
188,18-08-2020,1119.0
189,19-08-2020,1476.0
190,20-08-2020,1437.0
191,21-08-2020,1040.0
192,22-08-2020,666.0
193,23-08-2020,2124.0
194,24-08-2020,1402.0
195,25-08-2020,796.0
196,26-08-2020,3655.0
197,27-08-2020,1521.0
198,28-08-2020,1836.0
199,29-08-2020,712.0
200,30-08-2020,2283.0
201,31-08-2020,1476.0
202,01-09-2020,1007.0
203,02-09-2020,1401.0
204,03-09-2020,1794.0
205,04-09-2020,1196.0
206,05-09-2020,885.0
207,06-09-2020,2399.0
208,07-09-2020,1598.0
209,08-09-2020,1436.0
210,09-09-2020,1466.0
211,10-09-2020,1977.0
212,11-09-2020,1775.0
213,12-09-2020,1267.0
214,13-09-2020,3277.0
215,14-09-2020,2413.0
216,15-09-2020,2278.0
217,16-09-2020,2803.0
218,17-09-2020,3720.0
219,18-09-2020,2859.0
220,19-09-2020,1449.0
221,20-09-2020,2483.0
222,21-09-2020,4671.0
223,22-09-2020,3534.0
224,23-09-2020,3832.0
225,24-09-2020,4620.0
226,25-09-2020,4175.0
227,26-09-2020,2405.0
228,27-09-2020,5719.0
229,28-09-2020,2182.0
230,29-09-2020,5830.0
231,30-09-2020,5244.0
232,01-10-2020,5785.0
233,02-10-2020,5610.0
234,03-10-2020,3524.0
235,04-10-2020,8143.0
236,05-10-2020,6987.0
237,06-10-2020,6471.0
238,07-10-2020,4920.0
239,08-10-2020,4828.0
240,09-10-2020,5131.0
241,10-10-2020,3824.0
242,11-10-2020,7602.0
243,12-10-2020,5546.0
244,13-10-2020,5763.0
245,14-10-2020,5869.0
246,15-10-2020,5447.0
247,16-10-2020,3499.0
248,17-10-2020,2519.0
249,18-10-2020,4947.0
250,19-10-2020,2363.0
251,20-10-2020,1815.0
252,21-10-2020,3160.0
253,22-10-2020,3144.0
254,23-10-2020,2445.0
255,24-10-2020,1309.0
256,25-10-2020,2702.0
257,26-10-2020,1300.0
258,27-10-2020,960.0
259,28-10-2020,1303.0
260,29-10-2020,1442.0
261,30-10-2020,1066.0
262,31-10-2020,795.0
263,01-11-2020,1519.0
264,02-11-2020,914.0
265,03-11-2020,733.0
266,04-11-2020,632.0
267,05-11-2020,844.0
268,06-11-2020,892.0
269,07-11-2020,686.0
270,08-11-2020,684.0
271,09-11-2020,923.0
272,10-11-2020,339.0
273,11-11-2020,1088.0
274,12-11-2020,1209.0
275,13-11-2020,736.0
276,14-11-2020,422.0
277,15-11-2020,969.0
278,16-11-2020,660.0
279,17-11-2020,580.0
280,18-11-2020,800.0
281,19-11-2020,750.0
282,20-11-2020,675.0
283,21-11-2020,450.0
284,22-11-2020,1006.0
285,23-11-2020,652.0
286,24-11-2020,543.0
287,25-11-2020,847.0
288,26-11-2020,931.0
289,27-11-2020,693.0
290,28-11-2020,422.0
291,29-11-2020,1109.0
292,30-11-2020,739.0
293,01-12-2020,701.0
294,02-12-2020,845.0
295,03-12-2020,1429.0
296,04-12-2020,867.0
297,05-12-2020,598.0
298,06-12-2020,1401.0
299,07-12-2020,908.0
300,08-12-2020,895.0
301,09-12-2020,1031.0
302,10-12-2020,1440.0
303,11-12-2020,1148.0
304,12-12-2020,922.0
305,13-12-2020,1917.0
306,14-12-2020,1270.0
307,15-12-2020,1209.0
308,16-12-2020,1629.0
309,17-12-2020,1953.0
310,18-12-2020,1567.0
311,19-12-2020,1094.0
312,20-12-2020,2586.0
313,21-12-2020,1569.0
314,22-12-2020,1627.0
315,23-12-2020,2041.0
316,24-12-2020,2883.0
317,25-12-2020,2413.0
318,26-12-2020,1829.0
319,27-12-2020,4230.0
320,28-12-2020,2487.0
321,29-12-2020,2396.0
322,30-12-2020,3744.0
323,31-12-2020,4287.0
324,01-01-2021,3483.0
325,02-01-2021,2062.0
326,03-01-2021,5596.0
327,04-01-2021,3109.0
328,05-01-2021,2975.0
329,06-01-2021,4819.0
330,07-01-2021,5890.0
331,08-01-2021,4873.0
332,09-01-2021,3108.0
333,10-01-2021,8413.0
334,11-01-2021,4882.0
335,12-01-2021,4597.0
336,13-01-2021,8069.0
337,14-01-2021,9269.0
338,15-01-2021,8064.0
339,16-01-2021,4303.0
340,17-01-2021,10983.0
341,18-01-2021,6204.0
342,19-01-2021,5535.0
343,20-01-2021,8843.0
344,21-01-2021,10073.0
345,22-01-2021,8547.0
346,23-01-2021,4215.0
347,24-01-2021,10636.0
348,25-01-2021,5661.0
349,26-01-2021,5124.0
350,27-01-2021,8752.0
351,28-01-2021,9305.0
352,29-01-2021,7612.0
353,30-01-2021,3576.0
354,31-01-2021,10169.0
355,01-02-2021,5179.0
356,02-02-2021,4430.0
357,03-02-2021,8274.0
358,04-02-2021,8198.0
359,05-02-2021,7310.0
360,06-02-2021,3079.0
361,07-02-2021,9801.0
362,08-02-2021,5040.0
363,09-02-2021,4939.0
364,10-02-2021,8322.0
365,11-02-2021,8823.0
366,12-02-2021,7276.0
367,13-02-2021,3434.0
368,14-02-2021,9677.0
369,15-02-2021,4897.0
370,16-02-2021,3766.0
371,17-02-2021,6559.0
372,18-02-2021,7537.0
373,19-02-2021,5926.0
374,20-02-2021,3418.0
375,21-02-2021,7450.0
376,22-02-2021,3692.0
377,23-02-2021,3178.0
378,24-02-2021,5404.0
379,25-02-2021,5033.0
380,26-02-2021,3771.0
381,27-02-2021,1574.0
382,28-02-2021,5685.0
383,01-03-2021,2747.0
384,02-03-2021,2924.0
385,03-03-2021,4614.0
386,04-03-2021,4818.0
387,05-03-2021,4007.0
388,06-03-2021,1924.0
389,07-03-2021,5718.0
390,08-03-2021,2688.0
391,09-03-2021,2926.0
392,10-03-2021,4617.0
393,11-03-2021,5013.0
394,12-03-2021,3918.0
395,13-03-2021,2043.0
396,14-03-2021,5840.0
397,15-03-2021,2665.0
398,16-03-2021,2247.0
399,17-03-2021,3642.0
400,18-03-2021,3605.0
401,19-03-2021,2556.0
402,20-03-2021,1464.0
403,21-03-2021,3497.0
404,22-03-2021,1694.0
405,23-03-2021,739.0
406,24-03-2021,2254.0
407,25-03-2021,2107.0
408,26-03-2021,1494.0
409,27-03-2021,860.0
410,28-03-2021,882.0
411,29-03-2021,1471.0
412,30-03-2021,827.0
413,31-03-2021,1084.0
414,01-04-2021,1068.0
415,02-04-2021,645.0
416,03-04-2021,466.0
417,04-04-2021,1066.0
418,05-04-2021,512.0
419,06-04-2021,495.0
420,07-04-2021,424.0
421,08-04-2021,639.0
422,09-04-2021,580.0
423,10-04-2021,388.0
424,11-04-2021,777.0
425,12-04-2021,363.0
426,13-04-2021,381.0
427,14-04-2021,485.0
428,15-04-2021,259.0
429,16-04-2021,367.0
430,17-04-2021,214.0
431,18-04-2021,548.0
432,19-04-2021,201.0
433,20-04-2021,228.0
434,21-04-2021,237.0
435,22-04-2021,336.0
436,23-04-2021,266.0
437,24-04-2021,116.0
438,25-04-2021,194.0
439,26-04-2021,147.0
440,27-04-2021,149.0
441,28-04-2021,178.0
442,29-04-2021,171.0
443,30-04-2021,130.0
444,01-05-2021,71.0
445,02-05-2021,220.0
446,03-05-2021,152.0
447,04-05-2021,106.0
448,05-05-2021,143.0
449,06-05-2021,145.0
450,07-05-2021,88.0
451,08-05-2021,63.0
452,09-05-2021,148.0
453,10-05-2021,57.0
454,11-05-2021,84.0
455,12-05-2021,94.0
456,13-05-2021,73.0
457,14-05-2021,65.0
458,15-05-2021,46.0
459,16-05-2021,102.0
460,17-05-2021,19.0
461,18-05-2021,93.0
462,19-05-2021,91.0
463,20-05-2021,74.0
464,21-05-2021,33.0
465,22-05-2021,24.0
466,23-05-2021,86.0
467,24-05-2021,29.0
468,25-05-2021,42.0
469,26-05-2021,36.0
470,27-05-2021,40.0
471,28-05-2021,40.0
472,29-05-2021,17.0
473,30-05-2021,71.0
474,31-05-2021,27.0
475,01-06-2021,36.0
476,02-06-2021,48.0
477,03-06-2021,139.0
478,04-06-2021,11.0
479,05-06-2021,7.0
480,06-06-2021,56.0
481,07-06-2021,52.0
482,08-06-2021,17.0
483,09-06-2021,24.0
484,10-06-2021,30.0
485,11-06-2021,21.0
486,12-06-2021,15.0
487,13-06-2021,28.0
488,14-06-2021,23.0
489,15-06-2021,16.0
490,16-06-2021,9.0
491,17-06-2021,43.0
492,18-06-2021,11.0
493,19-06-2021,9.0
494,20-06-2021,87.0
495,21-06-2021,39.0
496,22-06-2021,11.0
497,23-06-2021,24.0
498,24-06-2021,44.0
499,25-06-2021,19.0
500,26-06-2021,15.0
501,27-06-2021,73.0
502,28-06-2021,28.0
503,,
